brand,jp_name,category,hot_models,demand_tier,resale_usd_low,resale_usd_high,target_max_buy_jpy,ship_class,voltage_relevant,fake_risk,notes
NOS半导体,トランジスタ,功率管/IC,2SC3281 2SA1302 2SA627 2SD218,S,15,120,500,light,no,high,"全球维修刚需,新货买不到,市场全是假货;正品日本NOS=圣杯;秋叶原元器件店金矿"
Denon,デノン,唱头/唱针,DL-103 DL-103R,S,180,450,8000,light,no,med,"MC唱头标杆,全球黑胶刚需;注意分辨二手磨损"
Audio-Technica,オーディオテクニカ,唱头/唱针,AT-VM95 vintage AT,A,40,250,4000,light,no,med,"换针体单卖也值钱"
Nagaoka,ナガオカ,唱针,MP-110 MP-150 MP-200,A,60,200,5000,light,no,med,"日本产,海外溢价高"
Shure,シュアー,唱针,M44 V15(停产),S,80,400,6000,light,no,high,"停产针疯涨;假货多,认原装"
Nakamichi,ナカミチ,卡座磁头,Dragon 700 1000系磁头,S,150,600,8000,light,no,med,"神级,停产不可替代;遇到必抢"
Nakamichi,ナカミチ,压带轮/皮带,各型号 pinch roller,A,25,90,2000,light,no,low,"修复刚需,复购高"
TEAC/Esoteric,ティアック,卡座/开盘磁头,各型号 head,A,60,250,5000,light,no,med,"开盘磁头小众高价"
Sansui,サンスイ,旋钮/面板,AU-D907 AU-919 BA系,A,30,180,3000,med,no,med,"凑套件难;成套旋钮溢价;拆件采集核心"
Sansui,サンスイ,表头/灯,各型号 meter/lamp,A,20,120,2500,light,no,low,"暖光卖点;可改LED"
Marantz,マランツ(日産),旋钮/面板,22系 receiver,A,40,220,4000,med,no,med,"美国受众大;蓝灯氛围"
Pioneer,パイオニア,旋钮/面板,SX系 monster receiver,A,35,200,3500,med,no,med,"SX大块头怪兽机配件热"
Luxman,ラックスマン,旋钮/面板,各型号 つまみ,A,30,180,3000,med,no,low,"高端质感;手感旋钮值钱"
Technics,テクニクス,唱盘配件,SL-1200 pitch fader/橡胶垫,A,25,150,2500,light,no,med,"DJ/复古双需求;配件长青"
Yamaha,ヤマハ,旋钮/面板,CA CR系,B,20,120,2500,med,no,low,"性价比受众"
Yamaha,ヤマハ,扬声器单元,NS-1000 铍高音,S,200,800,10000,med,no,high,"铍高音不可再生,损坏率高=需求大;小心仿品"
Pioneer,パイオニア,扬声器单元,vintage driver,B,40,200,4000,heavy,no,low,"单元偏重,谨慎"
Diatone,ダイヤトーン,扬声器单元,vintage driver,B,50,250,5000,heavy,no,low,"日本本土名声大"
通用,ベルト,皮带/橡胶,唱盘/卡座 belt,B,8,40,300,light,no,med,"量大复购;主攻难找异形原装件,通用件无定价权"
通用,ランプ,灯泡,ムギ球 dial/meter lamp,B,5,30,200,light,no,low,"暖光氛围;LED改装件也可做"
开盘机,オープンリール,磁头/皮带,各型号,B,40,180,4000,med,no,low,"小众但单价高"
